Time,Gender,LocationFamiliarity,ModeOfTransport,PresenceOfCompanions,PhoneBatteryLevel,PreviousIncidentArea,SafeToTravel
16,F,yes,auto,yes,85,no,yes
8,Other,no,4-wheeler,no,5,yes,no
3,M,no,4-wheeler,no,75,no,no
17,M,yes,4-wheeler,yes,15,yes,yes
4,M,yes,walk,yes,48,yes,no
24,Other,yes,walk,no,34,yes,no
16,Other,no,walk,no,29,no,no
22,Other,no,auto,yes,25,no,no
17,M,no,2-wheeler,yes,6,yes,no
4,M,no,auto,yes,45,yes,no
18,F,no,auto,no,57,no,no
24,M,yes,4-wheeler,no,61,yes,no
12,F,yes,2-wheeler,no,44,no,yes
10,Other,yes,walk,no,16,no,yes
7,M,no,auto,no,17,yes,no
14,Other,no,4-wheeler,no,89,no,yes
2,Other,yes,2-wheeler,no,53,no,no
7,Other,no,4-wheeler,yes,10,yes,no
11,M,no,4-wheeler,no,74,yes,no
20,F,yes,walk,yes,23,yes,no
17,M,no,walk,no,80,no,no
22,F,yes,2-wheeler,yes,92,no,yes
17,M,yes,2-wheeler,yes,45,yes,yes
14,Other,no,walk,yes,92,no,no
9,M,yes,4-wheeler,no,37,no,yes
7,Other,yes,auto,yes,37,yes,no
7,M,no,walk,yes,26,no,no
14,M,no,2-wheeler,no,59,yes,no
2,F,yes,2-wheeler,no,76,yes,no
1,M,no,walk,no,80,yes,no
18,M,yes,4-wheeler,no,56,no,yes
5,F,yes,walk,no,18,yes,no
14,Other,yes,4-wheeler,yes,77,no,yes
13,Other,no,walk,no,95,no,no
20,F,yes,2-wheeler,yes,53,no,yes
22,F,no,auto,no,92,yes,no
8,M,yes,4-wheeler,yes,74,no,yes
2,F,no,walk,yes,99,yes,no
24,F,no,2-wheeler,no,18,no,no
7,M,yes,4-wheeler,no,30,yes,yes
7,Other,no,2-wheeler,yes,87,no,yes
8,M,yes,2-wheeler,no,31,no,no
3,Other,yes,4-wheeler,no,57,yes,no
1,M,no,walk,yes,51,no,no
13,Other,no,2-wheeler,no,35,yes,no
16,Other,yes,2-wheeler,no,46,no,yes
9,F,no,2-wheeler,no,84,yes,no
23,Other,yes,walk,no,66,no,no
6,F,yes,walk,yes,80,no,yes
21,M,yes,2-wheeler,yes,30,yes,no
3,F,no,4-wheeler,no,10,no,no
19,Other,yes,4-wheeler,no,79,yes,no
17,F,no,2-wheeler,no,37,no,no
19,M,yes,4-wheeler,yes,51,no,yes
18,Other,no,walk,no,59,no,no
16,M,yes,walk,no,56,yes,no
16,Other,no,4-wheeler,no,62,no,yes
11,M,yes,2-wheeler,no,91,yes,no
13,Other,yes,walk,yes,89,no,yes
6,Other,no,walk,yes,40,no,no
21,F,yes,4-wheeler,no,45,no,yes
18,F,yes,4-wheeler,no,44,yes,no
21,F,no,2-wheeler,no,60,yes,no
18,F,yes,auto,yes,93,yes,yes
14,Other,no,4-wheeler,no,12,yes,no
5,M,yes,auto,no,41,yes,no
24,M,yes,auto,no,93,yes,no
23,Other,no,4-wheeler,no,80,no,no
15,M,yes,auto,no,7,no,yes
20,M,yes,4-wheeler,yes,58,no,yes
5,M,yes,2-wheeler,no,18,no,no
4,M,yes,4-wheeler,yes,89,yes,no
24,M,no,2-wheeler,yes,13,yes,no
24,Other,no,4-wheeler,no,51,yes,no
15,Other,no,4-wheeler,yes,81,yes,no
8,F,yes,2-wheeler,no,53,no,yes
3,M,no,auto,no,93,yes,no
4,Other,no,2-wheeler,no,48,yes,no
15,Other,no,2-wheeler,no,2,no,no
23,M,no,auto,yes,72,yes,no
11,M,yes,2-wheeler,no,51,no,yes
21,M,yes,2-wheeler,no,56,no,no
7,Other,yes,4-wheeler,no,93,yes,yes
3,Other,yes,4-wheeler,no,51,yes,no
18,F,yes,walk,no,89,yes,no
10,F,no,walk,no,13,yes,no
9,M,yes,4-wheeler,no,6,no,yes
9,Other,no,walk,yes,53,no,no
2,Other,no,auto,yes,30,yes,no
13,Other,no,2-wheeler,no,79,no,no
20,M,yes,2-wheeler,yes,78,yes,no
3,Other,no,walk,yes,81,yes,no
3,Other,no,2-wheeler,yes,58,no,no
12,M,no,2-wheeler,no,3,no,no
6,F,no,walk,no,72,yes,no
16,F,no,2-wheeler,yes,10,yes,no
11,Other,no,auto,yes,45,yes,no
6,Other,no,2-wheeler,no,75,no,no
16,F,no,2-wheeler,no,38,no,no
22,F,no,4-wheeler,no,25,yes,no
18,F,yes,4-wheeler,no,23,no,yes
14,M,yes,4-wheeler,no,7,no,yes
15,Other,no,auto,no,52,yes,no
12,Other,no,auto,yes,64,no,yes
11,Other,yes,4-wheeler,yes,59,no,yes
20,F,yes,2-wheeler,yes,57,yes,yes
13,F,yes,walk,yes,70,yes,yes
22,M,yes,auto,yes,64,no,no
4,F,yes,walk,no,70,no,no
17,Other,no,4-wheeler,no,47,yes,no
14,M,no,walk,no,19,yes,no
9,Other,no,4-wheeler,yes,67,no,yes
24,Other,yes,2-wheeler,no,28,no,no
9,M,yes,auto,yes,34,no,yes
7,Other,no,walk,yes,65,no,yes
9,M,no,auto,no,53,no,yes
22,M,no,2-wheeler,no,83,yes,no
1,M,yes,4-wheeler,no,95,no,no
19,Other,yes,auto,yes,74,no,yes
11,F,no,walk,no,92,yes,no
22,F,no,2-wheeler,yes,36,yes,no
20,F,no,walk,yes,6,yes,no
16,M,yes,4-wheeler,no,67,yes,no
23,Other,yes,auto,no,41,yes,no
12,F,no,4-wheeler,yes,9,no,yes
6,Other,yes,2-wheeler,yes,21,no,yes
15,Other,yes,4-wheeler,yes,16,yes,yes
12,Other,no,walk,no,55,yes,no
13,Other,yes,auto,no,45,yes,no
1,F,no,4-wheeler,yes,50,yes,no
1,Other,yes,auto,yes,63,yes,no
1,F,yes,walk,yes,33,no,no
14,Other,yes,walk,no,50,no,yes
4,M,no,walk,no,56,yes,no
9,F,no,2-wheeler,yes,52,no,yes
14,M,no,4-wheeler,no,88,no,yes
13,Other,no,4-wheeler,yes,8,yes,no
4,M,no,4-wheeler,yes,40,no,no
10,Other,no,2-wheeler,yes,99,no,yes
20,F,yes,walk,yes,81,yes,no
15,Other,yes,2-wheeler,no,29,yes,no
13,Other,yes,4-wheeler,no,6,no,yes
22,F,no,auto,no,56,yes,no
24,M,no,walk,yes,34,yes,no
5,Other,no,4-wheeler,no,11,no,no
20,M,no,2-wheeler,no,73,no,no
3,Other,yes,auto,no,74,yes,no
2,M,no,4-wheeler,no,11,yes,no
11,F,no,2-wheeler,yes,90,yes,no
